pmid,primary_domain,domains
19930635,Unmapped,
19932820,Psychiatry & psychology,Psychiatry & psychology
19933870,Immunology & allergy,Genetics/genomics & molecular biology|Immunology & allergy
19933982,Oncology & neoplasms,Neurology|Oncology & neoplasms
19935988,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
19937651,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
19938902,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
19942738,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
19948017,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
19948482,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
19951682,Unmapped,
19951799,Gastroenterology & hepatology,Gastroenterology & hepatology
19954495,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
19954516,Unmapped,
19955917,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
19956686,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
19956889,Oncology & neoplasms,Oncology & neoplasms
19958985,Neurology,Cardiovascular medicine|Neurology
19961954,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
19968878,Oncology & neoplasms,Immunology & allergy|Oncology & neoplasms
19969543,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
19995915,Oncology & neoplasms,Genetics/genomics & molecular biology|Oncology & neoplasms
19996293,Oncology & neoplasms,Oncology & neoplasms
20000882,Cardiovascular medicine,Cardiovascular medicine
20005474,Cardiovascular medicine,Cardiovascular medicine
20007147,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20007902,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20008278,Endocrinology & metabolism,Cardiovascular medicine|Endocrinology & metabolism
20008879,Pulmonology,Genetics/genomics & molecular biology|Pulmonology
20011851,Pulmonology,Pulmonology
20016128,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20017327,Cardiovascular medicine,Cardiovascular medicine
20018387,Pharmacology/therapeutics & drug discovery,Infectious diseases|Microbiology & virology|Pediatrics|Pharmacology/therapeutics & drug discovery
20018455,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20019019,Microbiology & virology,Endocrinology & metabolism|Hematology|Microbiology & virology
20019069,Pediatrics,Pediatrics
20019471,Cardiovascular medicine,Cardiovascular medicine
20019472,Cardiovascular medicine,Cardiovascular medicine
20019751,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20021044,Unmapped,
20023019,Microbiology & virology,Genetics/genomics & molecular biology|Infectious diseases|Microbiology & virology
20024637,Cardiovascular medicine,Cardiovascular medicine
20026058,Oncology & neoplasms,Gastroenterology & hepatology|Genetics/genomics & molecular biology|Oncology & neoplasms
20026581,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20028334,Rheumatology & autoimmune,Immunology & allergy|Neurology|Rheumatology & autoimmune
20028694,Cardiovascular medicine,Cardiovascular medicine
20031162,Oncology & neoplasms,Oncology & neoplasms
20031371,Obstetrics/gynecology & reproductive,Immunology & allergy|Obstetrics/gynecology & reproductive|Rheumatology & autoimmune
20036949,Unmapped,
20038635,Pharmacology/therapeutics & drug discovery,Genetics/genomics & molecular biology|Pharmacology/therapeutics & drug discovery
20041170,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
20044539,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20045073,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20047949,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20048104,Pediatrics,Hematology|Pediatrics
20051747,Unmapped,
20053684,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20054828,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20056566,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
20060331,Urology,Oncology & neoplasms|Urology
20064520,Neurology,Immunology & allergy|Neurology
20067169,Cardiovascular medicine,Cardiovascular medicine
20068396,Microbiology & virology,Microbiology & virology
20068481,Pediatrics,Neurology|Pediatrics
20073067,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20073435,Cardiovascular medicine,Cardiovascular medicine
20074469,Oncology & neoplasms,Genetics/genomics & molecular biology|Oncology & neoplasms
20078616,Rheumatology & autoimmune,Pharmacology/therapeutics & drug discovery|Rheumatology & autoimmune
20080130,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20080581,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20080751,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20086908,Unmapped,
20087345,Cardiovascular medicine,Cardiovascular medicine
20088881,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20091865,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20097287,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20097656,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20098695,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20100207,Oncology & neoplasms,Dermatology|Oncology & neoplasms
20100314,Cardiovascular medicine,Cardiovascular medicine
20100466,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20100756,Pediatrics,Pediatrics
20100762,Immunology & allergy,Immunology & allergy
20102100,Unmapped,
20102629,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20104210,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20105694,Psychiatry & psychology,Psychiatry & psychology
20108486,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20108752,Oncology & neoplasms,Oncology & neoplasms
20110024,Psychiatry & psychology,Psychiatry & psychology
20110242,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20112796,Unmapped,
20116986,Infectious diseases,Immunology & allergy|Infectious diseases
20117342,Oncology & neoplasms,Oncology & neoplasms
20122908,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20127218,Nephrology,Nephrology
20127383,Unmapped,
20130175,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20130826,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20131283,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20132991,Geriatrics & aging,Geriatrics & aging
20133523,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20137753,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20138347,Infectious diseases,Infectious diseases
20139205,Cardiovascular medicine,Cardiovascular medicine
20140514,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
20142103,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20142433,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20144704,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20144853,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20145785,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
20147392,Microbiology & virology,Immunology & allergy|Infectious diseases|Microbiology & virology
20150322,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20153362,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20154362,Endocrinology & metabolism,Endocrinology & metabolism
20158289,Unmapped,
20160027,Oncology & neoplasms,Immunology & allergy|Nephrology|Oncology & neoplasms
20160062,Oncology & neoplasms,Genetics/genomics & molecular biology|Neurology|Oncology & neoplasms
20161621,Unmapped,
20161711,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20161971,Unmapped,
20163699,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20164862,Microbiology & virology,Microbiology & virology
20166873,Oncology & neoplasms,Dermatology|Oncology & neoplasms
20167117,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20167841,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20169165,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20171954,Oncology & neoplasms,Oncology & neoplasms
20173393,Endocrinology & metabolism,Endocrinology & metabolism
20173739,Pulmonology,Oncology & neoplasms|Pulmonology
20173741,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20178366,Hematology,Hematology
20178376,Unmapped,
20179156,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20180736,Pulmonology,Pediatrics|Pulmonology
20181287,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20181940,Oncology & neoplasms,Immunology & allergy|Oncology & neoplasms
20184794,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20185404,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20190390,Genetics/genomics & molecular biology,Endocrinology & metabolism|Genetics/genomics & molecular biology
20193017,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20200331,Genetics/genomics & molecular biology,Cardiovascular medicine|Genetics/genomics & molecular biology
20200812,Immunology & allergy,Cardiovascular medicine|Endocrinology & metabolism|Immunology & allergy
20203685,Nephrology,Nephrology
20204908,Unmapped,
20205677,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
20207626,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20207700,Neurology,Neurology
20215713,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20215880,Oncology & neoplasms,Oncology & neoplasms
20216432,Gastroenterology & hepatology,Gastroenterology & hepatology
20218988,Pharmacology/therapeutics & drug discovery,Immunology & allergy|Pharmacology/therapeutics & drug discovery
20219571,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20220185,Pharmacology/therapeutics & drug discovery,Endocrinology & metabolism|Pharmacology/therapeutics & drug discovery
20220445,Pediatrics,Neurology|Pediatrics
20220448,Oncology & neoplasms,Neurology|Oncology & neoplasms
20221895,Oncology & neoplasms,Oncology & neoplasms
20223299,Geriatrics & aging,Geriatrics & aging
20224466,Pharmacology/therapeutics & drug discovery,Infectious diseases|Microbiology & virology|Ophthalmology & vision|Pharmacology/therapeutics & drug discovery
20225016,Orthopedics & musculoskeletal,Cardiovascular medicine|Orthopedics & musculoskeletal
20229786,Immunology & allergy,Immunology & allergy
20231120,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20232113,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20234769,Unmapped,
20235850,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20237318,Pharmacology/therapeutics & drug discovery,Genetics/genomics & molecular biology|Hematology|Oncology & neoplasms|Pediatrics|Pharmacology/therapeutics & drug discovery
20299225,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20299451,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20300368,Unmapped,
20303948,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
20305384,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20307404,Endocrinology & metabolism,Endocrinology & metabolism
20334641,Genetics/genomics & molecular biology,Cardiovascular medicine|Genetics/genomics & molecular biology
20337545,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive|Rheumatology & autoimmune
20345942,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20351673,Cardiovascular medicine,Cardiovascular medicine
20351675,Neurology,Neurology
20352587,Pharmacology/therapeutics & drug discovery,Neurology|Pharmacology/therapeutics & drug discovery
20353445,Pharmacology/therapeutics & drug discovery,Gastroenterology & hepatology|Pharmacology/therapeutics & drug discovery
20356359,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20357716,Genetics/genomics & molecular biology,Endocrinology & metabolism|Genetics/genomics & molecular biology
20357844,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20362558,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20364148,Oncology & neoplasms,Oncology & neoplasms
20369022,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20371324,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20371350,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20373339,Neurology,Neurology
20375333,Ophthalmology & vision,Genetics/genomics & molecular biology|Oncology & neoplasms|Ophthalmology & vision
20375655,Pharmacology/therapeutics & drug discovery,Neurology|Pharmacology/therapeutics & drug discovery
20376615,Unmapped,
20378005,Immunology & allergy,Immunology & allergy
20380486,Cardiovascular medicine,Cardiovascular medicine|Nephrology
20380531,Neurology,Neurology
20380613,Unmapped,
20382391,Unmapped,
20382830,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20383170,Endocrinology & metabolism,Endocrinology & metabolism
20384580,Oncology & neoplasms,Oncology & neoplasms
20385342,Psychiatry & psychology,Psychiatry & psychology
20391594,Pharmacology/therapeutics & drug discovery,Gastroenterology & hepatology|Pharmacology/therapeutics & drug discovery
20394583,Unmapped,
20397744,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20398468,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20400857,Oncology & neoplasms,Oncology & neoplasms
20403397,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
20404488,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20406178,Immunology & allergy,Immunology & allergy
20407423,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20411115,Immunology & allergy,Immunology & allergy
20413654,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20415555,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20415926,Psychiatry & psychology,Immunology & allergy|Infectious diseases|Psychiatry & psychology
20301577,Unmapped,
20301588,Unmapped,
20301628,Unmapped,
20421997,Infectious diseases,Infectious diseases
20422701,Neurology,Neurology
20427748,Oncology & neoplasms,Genetics/genomics & molecular biology|Neurology|Oncology & neoplasms
20427841,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
20428832,Urology,Oncology & neoplasms|Urology
20431548,Oncology & neoplasms,Oncology & neoplasms
20435731,Microbiology & virology,Genetics/genomics & molecular biology|Microbiology & virology
20436461,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20438208,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20439745,Rheumatology & autoimmune,Rheumatology & autoimmune
20439772,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20439829,Psychiatry & psychology,Cardiovascular medicine|Psychiatry & psychology
20440640,Unmapped,
20442245,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20442249,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20442301,Oncology & neoplasms,Oncology & neoplasms
20442526,Oncology & neoplasms,Nephrology|Oncology & neoplasms
20443435,Pediatrics,Pediatrics
20444961,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20446899,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20450444,Pharmacology/therapeutics & drug discovery,Microbiology & virology|Pharmacology/therapeutics & drug discovery
20451268,Pharmacology/therapeutics & drug discovery,Cardiovascular medicine|Pharmacology/therapeutics & drug discovery
20452577,Unmapped,
20456363,Unmapped,
20457135,Oncology & neoplasms,Genetics/genomics & molecular biology|Oncology & neoplasms
20459804,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20460342,Pediatrics,Oncology & neoplasms|Pediatrics
20461051,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20463063,Infectious diseases,Infectious diseases
20463739,Oncology & neoplasms,Oncology & neoplasms
20463988,Unmapped,
20465787,Unmapped,
20465815,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20466982,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20467443,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20467589,Cardiovascular medicine,Cardiovascular medicine
20469986,Neurology,Neurology
20470651,Pediatrics,Neurology|Pediatrics
20478643,Unmapped,
20479966,Dermatology,Dermatology
20491623,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20493257,Neurology,Immunology & allergy|Neurology
20493978,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20495363,Oncology & neoplasms,Immunology & allergy|Oncology & neoplasms
20495471,Urology,Infectious diseases|Microbiology & virology|Pharmacology/therapeutics & drug discovery|Urology
20498514,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20499654,Microbiology & virology,Microbiology & virology
20500033,Unmapped,
20501657,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20501974,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20502635,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20504333,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20505370,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20506142,Rheumatology & autoimmune,Pharmacology/therapeutics & drug discovery|Rheumatology & autoimmune
20507844,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20508277,Immunology & allergy,Immunology & allergy
20512532,Unmapped,
20513550,Microbiology & virology,Microbiology & virology
20514614,Oncology & neoplasms,Oncology & neoplasms
20515651,Neurology,Endocrinology & metabolism|Genetics/genomics & molecular biology|Neurology
20516197,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20517295,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
20517830,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20517833,Unmapped,
20517926,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
20518600,Unmapped,
20519775,Geriatrics & aging,Geriatrics & aging
20525577,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20526217,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20529852,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20531124,Psychiatry & psychology,Psychiatry & psychology
20532224,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20534344,Pharmacology/therapeutics & drug discovery,Oncology & neoplasms|Pharmacology/therapeutics & drug discovery
20534371,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20534834,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20535264,Unmapped,
20537158,Microbiology & virology,Microbiology & virology
20542142,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20542434,Unmapped,
20543981,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20545255,Gastroenterology & hepatology,Gastroenterology & hepatology
20545813,Pharmacology/therapeutics & drug discovery,Cardiovascular medicine|Pharmacology/therapeutics & drug discovery
20545934,Pulmonology,Pediatrics|Pulmonology
20547286,Infectious diseases,Infectious diseases
20549364,Pediatrics,Genetics/genomics & molecular biology|Pediatrics
20551556,Oncology & neoplasms,Dermatology|Oncology & neoplasms
20554961,Immunology & allergy,Genetics/genomics & molecular biology|Immunology & allergy
20558070,Oncology & neoplasms,Oncology & neoplasms
20561063,Unmapped,
20562527,Oncology & neoplasms,Oncology & neoplasms
20569258,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20571241,Gastroenterology & hepatology,Gastroenterology & hepatology
20571968,Oncology & neoplasms,Immunology & allergy|Neurology|Oncology & neoplasms
20573419,Rheumatology & autoimmune,Pharmacology/therapeutics & drug discovery|Rheumatology & autoimmune
20573733,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20576228,Rheumatology & autoimmune,Infectious diseases|Rheumatology & autoimmune
20576619,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20577028,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20577896,Oncology & neoplasms,Immunology & allergy|Oncology & neoplasms
20577916,Oncology & neoplasms,Oncology & neoplasms
20579824,Hematology,Hematology
20581311,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20582873,Neurology,Neurology
20582942,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20583541,Unmapped,
20587405,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20587542,Immunology & allergy,Immunology & allergy
20587619,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20588305,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20589122,Unmapped,
20589316,Pharmacology/therapeutics & drug discovery,Hematology|Pharmacology/therapeutics & drug discovery
20591647,Gastroenterology & hepatology,Gastroenterology & hepatology
20592905,Pediatrics,Genetics/genomics & molecular biology|Pediatrics
20593981,Pediatrics,Neurology|Pediatrics
20595626,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20596603,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20596824,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20598107,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
20598273,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20599721,Genetics/genomics & molecular biology,Endocrinology & metabolism|Genetics/genomics & molecular biology
20599892,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20601132,Gastroenterology & hepatology,Gastroenterology & hepatology
20607468,Cardiovascular medicine,Cardiovascular medicine
20608882,Pulmonology,Cardiovascular medicine|Pulmonology
20609637,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
20609690,Unmapped,
20613516,Unmapped,
20615753,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20616144,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20616570,Pulmonology,Pediatrics|Pulmonology
20618428,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20619378,Immunology & allergy,Immunology & allergy
20624672,Endocrinology & metabolism,Endocrinology & metabolism
20624856,Neurology,Genetics/genomics & molecular biology|Neurology
20625286,Endocrinology & metabolism,Cardiovascular medicine|Endocrinology & metabolism
20625510,Immunology & allergy,Genetics/genomics & molecular biology|Immunology & allergy
20627866,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20631058,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20631481,Oncology & neoplasms,Immunology & allergy|Oncology & neoplasms
20632027,Unmapped,
20632147,Rheumatology & autoimmune,Oncology & neoplasms|Rheumatology & autoimmune
20633006,Urology,Oncology & neoplasms|Urology
20634490,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20635761,Hematology,Hematology
20635821,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20637221,Pharmacology/therapeutics & drug discovery,Gastroenterology & hepatology|Neurology|Pharmacology/therapeutics & drug discovery
20638444,Pharmacology/therapeutics & drug discovery,Genetics/genomics & molecular biology|Pharmacology/therapeutics & drug discovery
20642659,Pediatrics,Pediatrics
20644257,Genetics/genomics & molecular biology,Cardiovascular medicine|Genetics/genomics & molecular biology
20644497,Microbiology & virology,Microbiology & virology
20644507,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20646716,Unmapped,
20648054,Unmapped,
20653933,Oncology & neoplasms,Oncology & neoplasms
20654714,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20655489,Unmapped,
20655735,Neurology,Neurology
20656376,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20657178,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20659884,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20660146,Immunology & allergy,Immunology & allergy
20663643,Neurology,Neurology
20665886,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20667986,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20670626,Neurology,Neurology
20670887,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20670956,Oncology & neoplasms,Oncology & neoplasms
20671836,Unmapped,
20674333,Oncology & neoplasms,Oncology & neoplasms
20675959,Cardiovascular medicine,Cardiovascular medicine
20676476,Unmapped,
20687495,Neurology,Neurology
20687511,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20691038,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20691492,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20692206,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20696005,Oncology & neoplasms,Genetics/genomics & molecular biology|Microbiology & virology|Oncology & neoplasms
20696248,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20696838,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20697054,Neurology,Genetics/genomics & molecular biology|Neurology
20698458,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
20698725,Pharmacology/therapeutics & drug discovery,Immunology & allergy|Infectious diseases|Pharmacology/therapeutics & drug discovery
20705007,Unmapped,
20707908,Oncology & neoplasms,Genetics/genomics & molecular biology|Oncology & neoplasms
20712856,Orthopedics & musculoskeletal,Orthopedics & musculoskeletal
20713456,Psychiatry & psychology,Psychiatry & psychology
20715052,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20716340,Pulmonology,Immunology & allergy|Oncology & neoplasms|Pulmonology
20720539,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20720541,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20721668,Unmapped,
20722494,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20724379,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20725585,Pediatrics,Infectious diseases|Pediatrics
20726288,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
20726948,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20727348,Psychiatry & psychology,Neurology|Psychiatry & psychology
20729242,Oncology & neoplasms,Oncology & neoplasms
20730482,Oncology & neoplasms,Oncology & neoplasms
20730698,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20731046,Oncology & neoplasms,Oncology & neoplasms
20733053,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20733526,Unmapped,
20735441,Rheumatology & autoimmune,Genetics/genomics & molecular biology|Immunology & allergy|Infectious diseases|Rheumatology & autoimmune
20736368,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20736486,Oncology & neoplasms,Oncology & neoplasms
20738039,Oncology & neoplasms,Oncology & neoplasms
20738704,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20795330,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20802020,Obstetrics/gynecology & reproductive,Obstetrics/gynecology & reproductive
20802419,Unmapped,
20803659,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20805997,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20807443,Unmapped,
20808602,Unmapped,
20808788,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20809775,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20811384,Rheumatology & autoimmune,Rheumatology & autoimmune
20811715,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20811718,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20812055,Gastroenterology & hepatology,Gastroenterology & hepatology
20812878,Cardiovascular medicine,Cardiovascular medicine
20814842,Pediatrics,Hematology|Pediatrics
20818174,Pulmonology,Oncology & neoplasms|Pulmonology
20819124,Oncology & neoplasms,Oncology & neoplasms
20819164,Microbiology & virology,Microbiology & virology
20823122,Unmapped,
20824711,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20827761,Gastroenterology & hepatology,Gastroenterology & hepatology
20828379,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20829081,Neurology,Neurology
20829883,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20832291,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20833332,Pediatrics,Nephrology|Oncology & neoplasms|Pediatrics
20835240,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20838599,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20840664,Urology,Genetics/genomics & molecular biology|Oncology & neoplasms|Urology
20842113,Oncology & neoplasms,Oncology & neoplasms
20843284,Pharmacology/therapeutics & drug discovery,Pharmacology/therapeutics & drug discovery
20845251,Ophthalmology & vision,Hematology|Ophthalmology & vision
20849606,Cardiovascular medicine,Cardiovascular medicine
20851221,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20851890,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20852254,Genetics/genomics & molecular biology,Genetics/genomics & molecular biology
20852673,Geriatrics & aging,Geriatrics & aging
